ym,gu_code,gu_name,신규구인,신규구직,취업건수,유효구인
202607,11110,종로구,0,865,434,0
202607,11170,용산구,0,1213,503,0
202607,11215,광진구,0,2516,847,0
202607,11140,중구,0,717,395,0
202607,11230,동대문구,0,2686,862,0
202607,11290,성북구,0,2890,995,0
202607,11200,성동구,0,1634,709,0
202607,11305,강북구,0,2302,1079,0
202607,11260,중랑구,0,3098,1321,0
202607,11380,은평구,0,3464,1453,0
202607,11410,서대문구,0,2481,751,0
202607,11350,노원구,0,3661,1209,0
202607,11440,마포구,0,2500,962,0
202607,11500,강서구,0,4134,1494,0
202607,11470,양천구,0,2695,1107,0
202607,11545,금천구,0,2193,1055,0
202607,11590,동작구,0,2764,1168,0
202607,11560,영등포구,0,2653,1023,0
202607,11320,도봉구,0,2398,1053,0
202607,11620,관악구,0,4444,1668,0
202607,11710,송파구,0,3899,1315,0
202607,11650,서초구,0,1664,694,0
202607,11740,강동구,0,3186,1197,0
202607,11530,구로구,0,3167,1132,0
202607,11680,강남구,0,2446,807,0
202606,11170,용산구,0,1130,284,0
